title,author,year_pub,provider,region,crop,uri,group
"Data for ""CAIT-UTC-REG39: FDR Stabilizer Selection Using Simple Soil Tests""",Ng ang a Stanley Karanja George Magambo Kanyenji Jalang'o Dorcas Anyango Nguru Wilson Maina Girvetz Evan,2019,CIAT - International Center for Tropical Agriculture Dataverse,East Africa,,doi:10.7910/DVN/HE6CEM,survey
"An integrated approach for understanding the factors that facilitate or constrain the adoption of soil carbon enhancing practices in East Africa, Kenya and Ethiopia.",International Center for Tropical Agriculture,,CIAT - International Center for Tropical Agriculture Dataverse,World,,doi:10.7910/DVN/FBX5DH,survey
"An integrated approach for understanding the factors that facilitate or constrain the adoption of soil carbon enhancing practices in East Africa, specifically Western Kenya",International Center for Tropical Agriculture,,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/WEA83N,survey
Cassava Breeding Trials - Edaphoclimatic Zone 2: Lowland Tropics,Da Silva Mayesse Monserrate Fredy Valencia Jefferson Quintero Marcela Jarvis Andy,2016,CIAT - International Center for Tropical Agriculture Dataverse,World,,doi:10.7910/DVN/QVXA7U,soil_samples
Cassava Diseases Evaluation - Edaphoclimatic Zone 2: Lowland Tropics,Sommer Rolf Kihara Job Bolo Peter Kinyua Michael,2018,CIAT - International Center for Tropical Agriculture Dataverse,Kenya,,doi:10.7910/DVN/SC0VKF,soil_samples
"Digital mapping of soil properties in the West of Honduras, Central America.",Ng ang a Stanley Karanja Mwungu Chris M Mwongera Caroline Kinyua Ivy Notenbaert An Girvetz Evan,2017,CIAT - International Center for Tropical Agriculture Dataverse,Kenya,,doi:10.7910/DVN/K6JQXC,survey
Greenhouse gas emissions from soils of a long-term trial in Western Kenya,International Center for Tropical Agriculture,2016,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/NQ5GDR,survey
Household Survey Data on Cost Benefit Analysis of Climate-Smart Soil Practices in Western Kenya,International Center for Tropical Agriculture,2016,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/WR18SC,survey
"Replication Data for: Bean experimental lines selected for tolerance to Drought, high temperatures, low P in the soil, high aluminum in the soil and high content of Fe / Zn in grain.",Raatz Bodo Beebe Stephen,2022,CIAT - International Center for Tropical Agriculture Dataverse,,,doi:10.7910/DVN/CDBHQW,survey
"Long-term tillage, residue management and crop rotation impacts on N2O and CH4 emissions on two contrasting soils in sub-humid Zimbabwe",Shumba A,2022,CIRAD,Zimbabwe,"maize, cowpea",doi:10.18167/DVN1/N7GAZF,agronomy
"N2Africa agronomy trials harvest - UGA, 2016, I","Vanlauwe, Bernard",2020,IITA,UGA,legumes,doi:10.25502/2788-9j45,agronomy
"N2Africa agronomy trials harvest - UGA, 2016, II","Vanlauwe, Bernard",2020,IITA,UGA,legumes,doi:10.25502/9kj5-mb56,agronomy
"N2Africa Baseline Survey - Ethiopia, 2014","Vanlauwe, B., et.al",2020,IITA,Ethiopia,legumes,doi:10.25502/a1qc-3b87/d,survey
"N2Africa Baseline Survey - Southern Tanzania, 2014","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/q560-ha69/d,survey
"N2Africa Baseline Survey - Tanzania, 2013","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/6w1q-xj07/d,survey
"N2Africa Baseline Survey - Togo, 2012","Vanlauwe, B., et.al",2020,IITA,Togo,legumes,doi:10.25502/wcbr-ck09/d,survey
"N2Africa Baseline Survey - Uganda, 2014","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/rmse-1711/d,survey
"N2Africa Baseline Survey 1 - Liberia, 2012","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/ckxj-2t51/d,survey
"N2Africa Baseline Survey 2 - Liberia, 2012","Vanlauwe, B., et.al",2020,IITA,Liberia,legumes,doi:10.25502/4nq1-kv83/d,survey
"N2Africa Baseline Survey, 2010 - 2011","Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/6txr-k273/d,survey
"N2Africa demo - Northern Uganda, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/4ymd-n614,agronomy
N2Africa demonstration trial,"Vanlauwe, B., et.al",2020,IITA,Africa,legumes,doi:10.25502/vhf4-rn77,agronomy
"N2Africa diagnostic trial - Eastern Uganda, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Uganda,legumes,doi:10.25502/tnn1-sp31,agronomy
"N2Africa diagnostic trial - Northern Tanzania, 2014, Season II","Vanlauwe, B., et.al",2020,IITA,Tanzania,legumes,doi:10.25502/f46k-yh57,agronomy
"N2Africa farm monitoring - Ethiopia, 2013","Vanlauwe, B., et.al",2020,IITA,Ethiopia,legumes,doi:10.25502/m5h6-cj32/d,agronomy
